release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,ROI,ROI_ratio,decade,decade_label,budget_category
2013,2,7.2,PG-13,Iron Man 3,200000000.0,130,Walt Disney ,1214811252.0,409013994.0,Action,Adventure,Sci-Fi,6.07405626,6.07405626,2010,2010s,Alto (100-200M)
2013,3,7.3,PG,Despicable Me 2,76000000.0,98,Universal Pictures,970766005.0,368065385.0,Animation,Adventure,Comedy,12.773236907894736,12.773236907894736,2010,2010s,Medio (50-100M)
2013,4,7.8,PG-13,The Hobbit: The Desolation of Smaug,225000000.0,161,Warner Bros.,958366855.0,258366855.0,Adventure,Fantasy,None,4.259408244444445,4.259408244444445,2010,2010s,Muy Alto (>200M)
2013,5,7.5,PG-13,The Hunger Games: Catching Fire,130000000.0,146,Lionsgate,865011746.0,424668047.0,Action,Adventure,Sci-Fi,6.653936507692308,6.653936507692308,2010,2010s,Alto (100-200M)
2013,6,7.1,PG-13,Fast & Furious 6,160000000.0,130,Universal Pictures,788679850.0,238679850.0,Action,Adventure,Thriller,4.9292490625,4.9292490625,2010,2010s,Alto (100-200M)
2013,7,7.3,G,Monsters University,200000000.0,104,Walt Disney ,743559607.0,268492764.0,Animation,Adventure,Comedy,3.717798035,3.717798035,2010,2010s,Alto (100-200M)
2013,8,7.7,PG-13,Gravity,100000000.0,91,Warner Bros.,723192705.0,274092705.0,Drama,Sci-Fi,Thriller,7.23192705,7.23192705,2010,2010s,Medio (50-100M)
2013,9,7.1,PG-13,Man of Steel,225000000.0,143,Warner Bros.,668045518.0,291045518.0,Action,Adventure,Sci-Fi,2.969091191111111,2.969091191111111,2010,2010s,Muy Alto (>200M)
2013,10,6.9,PG-13,Thor: The Dark World,170000000.0,112,Walt Disney ,644783140.0,206362140.0,Action,Adventure,Fantasy,3.792842,3.792842,2010,2010s,Alto (100-200M)
2012,1,8.0,PG-13,The Avengers,220000000.0,143,Walt Disney ,1518812988.0,623357910.0,Action,Adventure,Sci-Fi,6.9036954,6.9036954,2010,2010s,Muy Alto (>200M)
2012,2,7.7,PG-13,Skyfall,200000000.0,143,Sony Pictures,1108561013.0,304360277.0,Action,Adventure,Thriller,5.542805065,5.542805065,2010,2010s,Alto (100-200M)
2012,3,8.4,PG-13,The Dark Knight Rises,250000000.0,164,Warner Bros.,1081041287.0,448139099.0,Action,Adventure,Thriller,4.324165148,4.324165148,2010,2010s,Muy Alto (>200M)
2012,4,7.8,PG-13,The Hobbit: An Unexpected Journey,180000000.0,169,Warner Bros.,1017003568.0,303003568.0,Adventure,Family,Fantasy,5.650019822222222,5.650019822222222,2010,2010s,Alto (100-200M)
2012,5,6.6,PG,Ice Age: Continental Drift,95000000.0,88,Twentieth Century Fox,877244782.0,161321843.0,Animation,Adventure,Comedy,9.2341556,9.2341556,2010,2010s,Medio (50-100M)
2012,6,5.5,PG-13,The Twilight Saga: Breaking Dawn - Part 2,120000000.0,115,Lionsgate,829746820.0,292324737.0,Adventure,Drama,Fantasy,6.914556833333333,6.914556833333333,2010,2010s,Alto (100-200M)
2012,7,6.9,PG-13,The Amazing Spider-Man,230000000.0,136,Sony Pictures,757930663.0,262030663.0,Action,Sci-Fi,None,3.2953507086956524,3.2953507086956524,2010,2010s,Muy Alto (>200M)
2012,8,6.8,PG,Madagascar 3: Europe's Most Wanted,145000000.0,93,DreamWorks,746921274.0,216391482.0,Animation,Adventure,Comedy,5.1511812,5.1511812,2010,2010s,Alto (100-200M)
2012,9,7.2,PG-13,The Hunger Games,78000000.0,142,Lionsgate,694394724.0,408010692.0,Action,Adventure,Sci-Fi,8.902496461538462,8.902496461538462,2010,2010s,Medio (50-100M)
2012,10,6.8,PG-13,Men in Black 3,225000000.0,106,Sony Pictures,624026776.0,179020854.0,Action,Adventure,Comedy,2.773452337777778,2.773452337777778,2010,2010s,Muy Alto (>200M)
2011,1,8.1,PG-13,Harry Potter and the Deathly Hallows: Part 2,125000000.0,130,Warner Bros.,1341511219.0,381011219.0,Adventure,Drama,Fantasy,10.732089752,10.732089752,2010,2010s,Alto (100-200M)
2011,2,6.2,PG-13,Transformers: Dark of the Moon,195000000.0,154,Paramount Pictures,1123794079.0,352390543.0,Action,Adventure,Sci-Fi,5.763046558974359,5.763046558974359,2010,2010s,Alto (100-200M)
2011,3,6.6,PG-13,Pirates of the Caribbean: On Stranger Tides,250000000.0,136,Walt Disney ,1045713802.0,241071802.0,Action,Adventure,Fantasy,4.182855208,4.182855208,2010,2010s,Muy Alto (>200M)
2011,4,4.9,PG-13,The Twilight Saga: Breaking Dawn - Part 1,110000000.0,117,Summit Entertainment,712205856.0,281287133.0,Action,Adventure,Drama,6.474598690909091,6.474598690909091,2010,2010s,Alto (100-200M)
2011,5,7.4,PG-13,Mission: Impossible - Ghost Protocol,145000000.0,132,Paramount Pictures,694713380.0,209397903.0,Action,Adventure,Thriller,4.79112675862069,4.79112675862069,2010,2010s,Alto (100-200M)
2011,6,7.2,PG,Kung Fu Panda 2,150000000.0,90,DreamWorks,665692281.0,165249063.0,Animation,Action,Adventure,4.43794854,4.43794854,2010,2010s,Alto (100-200M)
2011,7,7.3,PG-13,Fast Five,125000000.0,130,Universal Pictures,626137675.0,209837675.0,Action,Adventure,Thriller,5.0091014,5.0091014,2010,2010s,Alto (100-200M)
2011,8,6.4,R,The Hangover Part II,80000000.0,102,Warner Bros.,586764305.0,254464305.0,Comedy,None,None,7.3345538125,7.3345538125,2010,2010s,Medio (50-100M)
2011,9,5.4,PG,The Smurfs,110000000.0,103,Sony Pictures,563749323.0,142614158.0,Adventure,Comedy,Family,5.124993845454545,5.124993845454545,2010,2010s,Alto (100-200M)
2011,10,6.1,G,Cars 2,200000000.0,106,Walt Disney ,559852396.0,191452396.0,Animation,Adventure,Comedy,2.79926198,2.79926198,2010,2010s,Alto (100-200M)
2010,1,8.3,G,Toy Story 3,200000000.0,103,Walt Disney ,1066969703.0,415004880.0,Animation,Adventure,Comedy,5.334848515,5.334848515,2010,2010s,Alto (100-200M)
2010,2,6.4,PG,Alice in Wonderland,200000000.0,108,Walt Disney ,1025467110.0,334191110.0,Adventure,Family,Fantasy,5.12733555,5.12733555,2010,2010s,Alto (100-200M)
2010,3,7.7,PG-13,Harry Potter and the Deathly Hallows: Part 1,125000000.0,146,Warner Bros.,976536918.0,295983305.0,Adventure,Family,Fantasy,7.812295344,7.812295344,2010,2010s,Alto (100-200M)
2010,4,8.8,PG-13,Inception,160000000.0,148,Warner Bros.,828322032.0,292576195.0,Action,Adventure,Sci-Fi,5.1770127,5.1770127,2010,2010s,Alto (100-200M)
2010,5,6.3,PG,Shrek Forever After,165000000.0,93,DreamWorks,752600867.0,238736787.0,Animation,Adventure,Comedy,4.561217375757575,4.561217375757575,2010,2010s,Alto (100-200M)
2010,6,5.0,PG-13,The Twilight Saga: Eclipse,68000000.0,124,Summit Entertainment,698491347.0,300531751.0,Action,Drama,Fantasy,10.271931573529411,10.271931573529411,2010,2010s,Medio (50-100M)
2010,7,7.0,PG-13,Iron Man 2,200000000.0,124,Paramount Pictures,623933331.0,312433331.0,Action,Adventure,Sci-Fi,3.119666655,3.119666655,2010,2010s,Alto (100-200M)
2010,8,7.7,PG,Tangled,260000000.0,100,Walt Disney ,593171580.0,200821936.0,Animation,Adventure,Comedy,2.2814291538461537,2.2814291538461537,2010,2010s,Muy Alto (>200M)
